latitude,longitude,timestamp
41.51176,-74.08371,
41.51176,-74.08371,
41.51088,-74.08337,
41.51077,-74.08338,
41.51072,-74.08343,
41.51065,-74.08384,
41.51065,-74.08384,
41.51065,-74.08384,
41.5106,-74.0841,
41.51058,-74.08422,
41.51063,-74.0843,
41.51097,-74.08464,
41.51106,-74.0847,
41.51147,-74.08485,
41.51159,-74.08495,
41.51168,-74.08503,
41.51168,-74.08503,
41.51162,-74.08515,
41.51154,-74.08529,
41.51145,-74.08544,
41.51135,-74.08558,
41.51125,-74.08574,
41.51115,-74.08584,
41.51106,-74.08594,
41.51105,-74.08595,
41.51094,-74.08607,
41.51083,-74.08618,
41.51072,-74.08628,
41.5106,-74.08637,
41.51048,-74.08646,
41.51036,-74.08655,
41.51023,-74.08663,
41.5101,-74.08669,
41.50998,-74.08675,
41.50985,-74.08681,
41.50963,-74.08688,
41.50906,-74.0871,
41.5089,-74.08716,
41.50874,-74.08721,
41.50862,-74.08726,
41.50849,-74.08731,
41.50836,-74.08736,
41.50823,-74.08733,
41.50823,-74.08733,
41.50826,-74.08751,
41.50845,-74.08847,
41.50854,-74.089,
41.50854,-74.08903,
41.50863,-74.08947,
41.50865,-74.08961,
41.50871,-74.0899,
41.50878,-74.09021,
41.50882,-74.0904,
41.50883,-74.09044,
41.50892,-74.09078,
41.50894,-74.09084,
41.50896,-74.09092,
41.50912,-74.09135,
41.5092,-74.09156,
41.5094,-74.09197,
41.50959,-74.09239,
41.51037,-74.09397,
41.51099,-74.09525,
41.51204,-74.0975,
41.51239,-74.09825,
41.51357,-74.10073,
41.51412,-74.10186,
41.51424,-74.10208,
41.5145,-74.10257,
41.51463,-74.10279,
41.51493,-74.10327,
41.51554,-74.10419,
41.51582,-74.10457,
41.51608,-74.10493,
41.51616,-74.10504,
41.51717,-74.10623,
41.51746,-74.10658,
41.51774,-74.10691,
41.51779,-74.10697,
41.51843,-74.10772,
41.51865,-74.10788,
41.51874,-74.10795,
41.51883,-74.10805,
41.51884,-74.10806,
41.5189,-74.10814,
41.51977,-74.10916,
41.52086,-74.11048,
41.52086,-74.11048,
41.52078,-74.11058,
41.51936,-74.11242,
41.51921,-74.11261,
41.51908,-74.1128,
41.51895,-74.11299,
41.51807,-74.11442,
41.51651,-74.11726,
41.51626,-74.11773,
41.51603,-74.11817,
41.51582,-74.11858,
41.51565,-74.11894,
41.51548,-74.1193,
41.51532,-74.11967,
41.51515,-74.12005,
41.515,-74.12043,
41.51485,-74.12082,
41.51471,-74.12119,
41.51456,-74.12159,
41.51442,-74.12199,
41.51429,-74.12238,
41.51417,-74.12278,
41.51405,-74.12318,
41.51394,-74.12359,
41.51394,-74.12359,
41.51383,-74.12398,
41.51375,-74.12427,
41.51365,-74.12467,
41.51359,-74.12495,
41.51349,-74.12537,
41.51331,-74.12619,
41.51316,-74.12705,
41.51309,-74.12747,
41.51299,-74.12814,
41.51292,-74.12874,
41.51283,-74.12958,
41.51277,-74.13017,
41.51273,-74.1306,
41.51268,-74.13117,
41.51262,-74.13187,
41.51259,-74.13231,
41.51253,-74.13319,
41.51248,-74.1339,
41.51244,-74.13461,
41.51241,-74.13519,
41.51238,-74.13575,
41.51236,-74.13634,
41.51232,-74.13698,
41.5123,-74.13756,
41.51229,-74.13813,
41.51228,-74.1387,
41.51227,-74.13927,
41.51226,-74.13984,
41.51225,-74.14043,
41.51225,-74.14098,
41.51225,-74.14156,
41.51226,-74.14214,
41.51226,-74.14271,
41.51227,-74.1433,
41.51229,-74.14387,
41.5123,-74.14444,
41.51232,-74.14503,
41.51234,-74.14558,
41.51236,-74.14616,
41.51239,-74.14673,
41.51242,-74.14733,
41.51245,-74.14789,
41.51249,-74.14846,
41.51254,-74.14903,
41.51259,-74.1496,
41.51265,-74.15017,
41.51272,-74.15073,
41.5128,-74.15131,
41.51288,-74.15187,
41.51297,-74.15243,
41.51306,-74.15299,
41.51316,-74.15357,
41.51327,-74.15413,
41.51339,-74.15468,
41.51351,-74.15524,
41.51364,-74.15578,
41.51377,-74.15634,
41.51391,-74.15688,
41.51406,-74.15742,
41.51421,-74.15795,
41.51437,-74.1585,
41.51454,-74.15904,
41.51472,-74.15957,
41.51489,-74.16009,
41.51607,-74.1635,
41.5162,-74.16389,
41.51633,-74.16431,
41.51635,-74.16437,
41.51645,-74.1647,
41.51656,-74.1651,
41.51666,-74.16551,
41.51676,-74.16593,
41.5168,-74.16609,
41.51686,-74.16634,
41.51695,-74.16676,
41.51703,-74.16717,
41.51711,-74.16759,
41.51718,-74.16801,
41.51724,-74.16842,
41.5173,-74.16886,
41.51736,-74.16929,
41.5174,-74.16972,
41.51744,-74.17016,
41.51749,-74.17071,
41.51754,-74.17127,
41.51759,-74.17187,
41.51763,-74.17242,
41.51767,-74.17298,
41.51771,-74.17357,
41.51774,-74.17414,
41.51778,-74.17471,
41.51781,-74.17529,
41.51784,-74.17586,
41.51786,-74.17645,
41.51788,-74.17703,
41.51789,-74.17759,
41.51791,-74.17819,
41.51792,-74.17875,
41.51793,-74.17933,
41.51794,-74.17988,
41.51794,-74.18045,
41.51795,-74.18094,
41.51794,-74.1814,
41.51794,-74.18173,
41.51794,-74.18221,
41.51793,-74.1827,
41.51792,-74.18324,
41.51791,-74.18376,
41.5179,-74.18431,
41.51788,-74.18488,
41.51785,-74.18547,
41.51783,-74.18605,
41.51781,-74.18657,
41.51778,-74.18706,
41.51776,-74.18753,
41.51769,-74.18872,
41.51765,-74.18923,
41.51761,-74.18981,
41.51756,-74.19038,
41.51751,-74.1908,
41.51745,-74.19124,
41.51739,-74.19166,
41.51731,-74.19208,
41.51722,-74.19251,
41.51713,-74.19291,
41.51703,-74.19332,
41.51692,-74.19374,
41.51681,-74.19412,
41.51668,-74.19453,
41.51654,-74.19491,
41.51639,-74.19531,
41.51624,-74.19568,
41.51608,-74.19606,
41.51591,-74.19643,
41.51574,-74.19679,
41.51574,-74.19679,
41.51574,-74.19679,
41.51424,-74.19981,
41.51413,-74.20004,
41.5139,-74.20053,
41.51367,-74.20102,
41.51345,-74.20151,
41.51324,-74.20202,
41.51303,-74.20252,
41.51303,-74.20252,
41.51284,-74.20311,
41.51276,-74.2034,
41.51268,-74.20366,
41.5126,-74.20396,
41.51176,-74.20724,
41.51172,-74.20736,
41.51172,-74.20736,
41.51021,-74.20714,
41.51,-74.20707,
41.50965,-74.20702,
41.50954,-74.20701,
41.50954,-74.20701,
41.50954,-74.20687,
41.50955,-74.20662,
41.50962,-74.20584,
41.50964,-74.20568,
41.50967,-74.20551,
41.50972,-74.20532,
41.50979,-74.20516,
41.50985,-74.20504,
41.50993,-74.20491,
41.51,-74.20481,
41.51006,-74.20475,
41.51017,-74.20465,
41.51026,-74.20458,
41.51039,-74.20452,
41.51107,-74.20423,
41.51125,-74.20415,
41.5114,-74.20406,
41.51156,-74.20394,
41.51171,-74.20382,
41.51186,-74.20368,
41.512,-74.20353,
41.51212,-74.20338,
41.51224,-74.20321,
41.51236,-74.20303,
41.51247,-74.20282,
41.51256,-74.20262,
41.51317,-74.20129,
41.51338,-74.20079,
41.51361,-74.20028,
41.51384,-74.19977,
41.51394,-74.19956,
41.51408,-74.19925,
41.51522,-74.19685,
41.51538,-74.19651,
41.51555,-74.19614,
41.5157,-74.19578,
41.51586,-74.1954,
41.51599,-74.19502,
41.51613,-74.19464,
41.51625,-74.19426,
41.51636,-74.1939,
41.51645,-74.19354,
41.51655,-74.19314,
41.51664,-74.19275,
41.51673,-74.19234,
41.5168,-74.19193,
41.51687,-74.19151,
41.51692,-74.19111,
41.51697,-74.19071,
41.51701,-74.19027,
41.51704,-74.18992,
41.51706,-74.18957,
41.51714,-74.18828,
41.51716,-74.18788,
41.51718,-74.18746,
41.5172,-74.187,
41.51722,-74.18649,
41.51724,-74.18593,
41.51726,-74.18538,
41.51728,-74.18484,
41.51729,-74.1843,
41.51731,-74.18373,
41.51732,-74.18322,
41.51732,-74.18269,
41.51733,-74.18187,
41.51733,-74.18153,
41.51734,-74.18101,
41.51734,-74.18045,
41.51734,-74.17989,
41.51733,-74.17936,
41.51732,-74.17879,
41.51731,-74.1782,
41.5173,-74.17765,
41.51728,-74.17704,
41.51726,-74.1765,
41.51724,-74.17593,
41.51722,-74.17535,
41.51719,-74.17476,
41.51717,-74.17421,
41.51714,-74.17361,
41.51712,-74.17342,
41.5171,-74.17306,
41.51707,-74.17249,
41.51704,-74.17194,
41.51699,-74.17136,
41.51695,-74.17078,
41.51691,-74.17023,
41.51687,-74.16981,
41.51683,-74.16939,
41.51679,-74.16898,
41.51674,-74.16856,
41.51669,-74.16815,
41.51663,-74.16774,
41.51656,-74.16734,
41.51649,-74.16692,
41.51641,-74.16652,
41.51633,-74.16611,
41.51624,-74.1657,
41.51614,-74.1653,
41.51604,-74.16489,
41.51595,-74.16457,
41.51593,-74.16451,
41.51582,-74.16411,
41.51569,-74.16369,
41.51556,-74.16328,
41.51424,-74.15921,
41.51407,-74.15867,
41.5139,-74.15811,
41.51375,-74.15758,
41.51359,-74.15704,
41.51345,-74.15648,
41.51332,-74.15596,
41.51318,-74.15539,
41.51305,-74.15484,
41.51293,-74.15426,
41.51281,-74.15369,
41.5127,-74.15311,
41.5126,-74.15254,
41.5125,-74.15198,
41.51242,-74.15143,
41.51233,-74.15083,
41.51225,-74.15025,
41.51218,-74.14968,
41.51212,-74.14911,
41.51206,-74.1485,
41.51201,-74.14794,
41.51196,-74.14738,
41.51192,-74.14679,
41.51189,-74.14625,
41.51187,-74.14566,
41.51185,-74.14506,
41.51183,-74.14451,
41.51182,-74.14387,
41.51182,-74.14331,
41.51182,-74.14274,
41.51183,-74.14216,
41.51183,-74.14156,
41.51184,-74.14097,
41.51185,-74.14042,
41.51186,-74.13984,
41.51188,-74.13925,
41.5119,-74.13867,
41.51192,-74.13812,
41.51194,-74.13753,
41.51196,-74.13702,
41.51199,-74.13645,
41.51203,-74.13576,
41.51206,-74.13532,
41.51209,-74.13476,
41.51213,-74.13417,
41.51217,-74.13361,
41.51221,-74.13304,
41.51226,-74.13244,
41.5123,-74.13188,
41.51234,-74.13151,
41.51238,-74.13106,
41.51245,-74.13021,
41.51245,-74.13021,
41.51243,-74.12996,
41.51245,-74.12973,
41.51246,-74.12952,
41.51245,-74.12935,
41.51242,-74.12919,
41.51237,-74.12904,
41.51231,-74.12888,
41.51224,-74.12875,
41.51217,-74.12864,
41.51208,-74.12854,
41.51199,-74.12845,
41.5119,-74.12838,
41.51181,-74.12832,
41.51172,-74.12829,
41.51162,-74.12825,
41.51152,-74.12824,
41.51141,-74.12824,
41.51131,-74.12825,
41.5112,-74.12827,
41.5111,-74.12831,
41.511,-74.12836,
41.51091,-74.12843,
41.51083,-74.1285,
41.51075,-74.12858,
41.51068,-74.12868,
41.5106,-74.12879,
41.51052,-74.12895,
41.51046,-74.12912,
41.51041,-74.12931,
41.51036,-74.12951,
41.51033,-74.12971,
41.51033,-74.12971,
41.5103,-74.12994,
41.51029,-74.13014,
41.51029,-74.13032,
41.5103,-74.13047,
41.51031,-74.13063,
41.51034,-74.13078,
41.51034,-74.13078,
41.51029,-74.13081,
41.51007,-74.13089,
41.50984,-74.13099,
41.50962,-74.1311,
41.50941,-74.13122,
41.50916,-74.13137,
41.50892,-74.13153,
41.50869,-74.13171,
41.50846,-74.13189,
41.50759,-74.13264,
41.50721,-74.13296,
41.50603,-74.13398,
41.50582,-74.13414,
41.50562,-74.13429,
41.50542,-74.13442,
41.50522,-74.13454,
41.50503,-74.13465,
41.50483,-74.13474,
41.50464,-74.13483,
41.50448,-74.13488,
41.50433,-74.13492,
41.50395,-74.13498,
41.50373,-74.13503,
41.50351,-74.13507,
41.50329,-74.13509,
41.50307,-74.1351,
41.50285,-74.1351,
41.5004,-74.13509,
41.49882,-74.13509,
41.49862,-74.13508,
41.49841,-74.13505,
41.4982,-74.135,
41.498,-74.13493,
41.4978,-74.13485,
41.49761,-74.13475,
41.49744,-74.13464,
41.49725,-74.1345,
41.49707,-74.13434,
41.49689,-74.13416,
41.49628,-74.13352,
41.4959,-74.13312,
41.49575,-74.13296,
41.49575,-74.13296,
41.49635,-74.13199,
41.49645,-74.1318,
41.49657,-74.13156,
41.49667,-74.13131,
41.49677,-74.13105,
41.49686,-74.13078,
41.49693,-74.13051,
41.49699,-74.13023,
41.49704,-74.12995,
41.49708,-74.12967,
41.4971,-74.12938,
41.49712,-74.1291,
41.49711,-74.12881,
41.4971,-74.12852,
41.49708,-74.12823,
41.49704,-74.12794,
41.4967,-74.12581,
41.49665,-74.1254,
41.4966,-74.12495,
41.49657,-74.12452,
41.49655,-74.12408,
41.49654,-74.12365,
41.49655,-74.12322,
41.49657,-74.12277,
41.4966,-74.12235,
41.49665,-74.12191,
41.49671,-74.12148,
41.49678,-74.12106,
41.49687,-74.12063,
41.49719,-74.11926,
41.49726,-74.11898,
41.49731,-74.11871,
41.49737,-74.11843,
41.49742,-74.11814,
41.49746,-74.11787,
41.49749,-74.11758,
41.49753,-74.1173,
41.49755,-74.117,
41.49757,-74.11672,
41.49758,-74.11643,
41.49759,-74.11614,
41.49759,-74.11585,
41.49759,-74.11557,
41.49758,-74.11527,
41.49757,-74.11499,
41.49755,-74.1147,
41.49752,-74.11442,
41.49748,-74.11412,
41.49744,-74.11384,
41.4974,-74.11356,
41.49735,-74.11328,
41.4973,-74.113,
41.49676,-74.1104,
41.49666,-74.10993,
41.4966,-74.10962,
41.49641,-74.10893,
41.49636,-74.1087,
41.49547,-74.10435,
41.49547,-74.10435,
41.49556,-74.10431,
41.49556,-74.10431,
41.49646,-74.10867,
41.49649,-74.1089,
41.4966,-74.10962,
41.49666,-74.10993,
41.49676,-74.1104,
41.4973,-74.113,
41.49735,-74.11328,
41.4974,-74.11356,
41.49744,-74.11384,
41.49748,-74.11412,
41.49752,-74.11442,
41.49755,-74.1147,
41.49757,-74.11499,
41.49758,-74.11527,
41.49759,-74.11557,
41.49759,-74.11585,
41.49759,-74.11614,
41.49758,-74.11643,
41.49757,-74.11672,
41.49755,-74.117,
41.49753,-74.1173,
41.49749,-74.11758,
41.49746,-74.11787,
41.49742,-74.11814,
41.49737,-74.11843,
41.49731,-74.11871,
41.49726,-74.11898,
41.49719,-74.11926,
41.49687,-74.12063,
41.49678,-74.12106,
41.49671,-74.12148,
41.49665,-74.12191,
41.4966,-74.12235,
41.49658,-74.1226,
41.49658,-74.1226,
41.49658,-74.1226,
41.49657,-74.12277,
41.49655,-74.12322,
41.49654,-74.12365,
41.49655,-74.12408,
41.49657,-74.12452,
41.4966,-74.12495,
41.49665,-74.1254,
41.4967,-74.12581,
41.49704,-74.12794,
41.49708,-74.12823,
41.4971,-74.12852,
41.49711,-74.12881,
41.49712,-74.1291,
41.4971,-74.12938,
41.49708,-74.12967,
41.49704,-74.12995,
41.49699,-74.13023,
41.49693,-74.13051,
41.49686,-74.13078,
41.49677,-74.13105,
41.49667,-74.13131,
41.49657,-74.13156,
41.49645,-74.1318,
41.49645,-74.1318,
41.49635,-74.13199,
41.49575,-74.13296,
41.49575,-74.13296,
41.4959,-74.13312,
41.49628,-74.13352,
41.49689,-74.13416,
41.49707,-74.13434,
41.49725,-74.1345,
41.49744,-74.13464,
41.49761,-74.13475,
41.4978,-74.13485,
41.498,-74.13493,
41.4982,-74.135,
41.49841,-74.13505,
41.49862,-74.13508,
41.49882,-74.13509,
41.5004,-74.13509,
41.50285,-74.1351,
41.50307,-74.1351,
41.50329,-74.13509,
41.50351,-74.13507,
41.50373,-74.13503,
41.50395,-74.13498,
41.5046,-74.1347,
41.50479,-74.13461,
41.50499,-74.13451,
41.50517,-74.1344,
41.50537,-74.13428,
41.50556,-74.13414,
41.50575,-74.134,
41.50752,-74.13248,
41.50839,-74.13174,
41.50862,-74.13156,
41.50886,-74.13138,
41.5091,-74.13122,
41.50936,-74.13106,
41.50957,-74.13094,
41.50957,-74.13094,
41.50996,-74.13069,
41.51002,-74.13064,
41.51008,-74.13056,
41.51013,-74.13047,
41.51017,-74.13036,
41.5102,-74.13024,
41.51024,-74.1297,
41.51027,-74.12947,
41.51033,-74.12926,
41.51038,-74.12906,
41.51046,-74.12886,
41.51053,-74.12867,
41.51062,-74.12849,
41.51073,-74.12832,
41.51084,-74.12816,
41.51096,-74.12801,
41.51143,-74.1275,
41.51174,-74.12715,
41.51206,-74.1268,
41.51217,-74.12667,
41.51229,-74.1265,
41.51243,-74.12632,
41.51253,-74.12615,
41.51263,-74.12598,
41.51273,-74.12581,
41.51283,-74.1256,
41.51292,-74.12539,
41.51298,-74.12522,
41.51307,-74.12497,
41.5132,-74.12447,
41.51338,-74.12377,
41.51347,-74.12359,
41.51362,-74.12301,
41.51375,-74.12256,
41.51388,-74.12211,
41.51401,-74.12171,
41.51419,-74.12118,
41.51428,-74.12094,
41.51442,-74.12054,
41.51457,-74.12015,
41.51472,-74.11975,
41.51489,-74.11936,
41.51506,-74.11895,
41.51523,-74.11859,
41.51542,-74.11819,
41.51561,-74.1178,
41.51585,-74.11733,
41.51611,-74.11687,
41.51774,-74.11401,
41.51774,-74.11401,
41.51932,-74.11128,
41.51932,-74.11128,
41.51932,-74.11128,
41.52007,-74.10997,
41.52029,-74.10958,
41.52058,-74.10906,
41.52077,-74.10873,
41.52095,-74.10837,
41.52113,-74.10803,
41.52129,-74.10768,
41.52144,-74.10732,
41.52158,-74.10694,
41.52171,-74.10657,
41.52183,-74.10619,
41.52194,-74.1058,
41.52204,-74.1054,
41.52213,-74.105,
41.52221,-74.10462,
41.52228,-74.10421,
41.52234,-74.10382,
41.52239,-74.1034,
41.52242,-74.10299,
41.52245,-74.10256,
41.52246,-74.10213,
41.52247,-74.10174,
41.52246,-74.10133,
41.52244,-74.10092,
41.52241,-74.10053,
41.52237,-74.10015,
41.52233,-74.0998,
41.52227,-74.09939,
41.5222,-74.09899,
41.52212,-74.09858,
41.52203,-74.0982,
41.52193,-74.09781,
41.52182,-74.09743,
41.5217,-74.09707,
41.52157,-74.09669,
41.52142,-74.09632,
41.52128,-74.09596,
41.52111,-74.09559,
41.52095,-74.09523,
41.52063,-74.09454,
41.51776,-74.0883,
41.51755,-74.08784,
41.51731,-74.0873,
41.51709,-74.08679,
41.51689,-74.08628,
41.5167,-74.08577,
41.51651,-74.08524,
41.51634,-74.08472,
41.51617,-74.08418,
41.51602,-74.08365,
41.51587,-74.08312,
41.51574,-74.08258,
41.51561,-74.08202,
41.51549,-74.08147,
41.51539,-74.08091,
41.51529,-74.08035,
41.51526,-74.08016,
41.5152,-74.07979,
41.51512,-74.07921,
41.51505,-74.07863,
41.515,-74.07808,
41.51496,-74.07753,
41.51496,-74.07753,
41.51484,-74.07658,
41.51456,-74.07404,
41.51455,-74.07396,
41.51452,-74.0738,
41.51449,-74.07364,
41.51445,-74.07349,
41.5144,-74.07333,
41.51434,-74.07317,
41.51428,-74.07304,
41.51421,-74.07291,
41.51413,-74.07279,
41.51405,-74.07268,
41.51397,-74.07257,
41.5139,-74.07249,
41.51366,-74.07228,
41.51357,-74.0722,
41.51346,-74.07213,
41.51335,-74.07208,
41.5132,-74.07201,
41.51289,-74.07185,
41.51279,-74.07179,
41.5127,-74.07172,
41.51261,-74.07165,
41.51236,-74.07142,
41.51204,-74.07128,
41.51195,-74.07124,
41.51191,-74.07122,
41.51187,-74.0712,
41.51177,-74.07116,
41.51147,-74.07102,
41.51134,-74.07097,
41.51122,-74.07093,
41.51109,-74.0709,
41.51096,-74.07088,
41.51084,-74.07086,
41.51073,-74.07086,
41.5106,-74.07087,
41.51047,-74.07091,
41.51036,-74.07096,
41.51026,-74.07102,
41.51015,-74.0711,
41.51007,-74.07118,
41.50998,-74.07128,
41.5099,-74.07138,
41.50984,-74.07149,
41.50978,-74.07163,
41.50973,-74.0718,
41.50973,-74.0718,
41.50969,-74.07196,
41.50966,-74.07214,
41.50965,-74.07235,
41.50965,-74.07256,
41.50965,-74.07286,
41.50966,-74.07307,
41.50967,-74.07325,
41.50969,-74.07346,
41.50977,-74.07393,
41.50989,-74.07482,
41.50999,-74.07542,
41.51,-74.07555,
41.51,-74.07569,
41.50999,-74.07582,
41.50997,-74.07595,
41.50993,-74.07607,
41.50989,-74.07618,
41.50984,-74.07629,
41.50977,-74.0764,
41.50969,-74.07649,
41.5096,-74.07657,
41.50952,-74.07663,
41.50942,-74.07668,
41.50933,-74.07671,
41.50924,-74.07672,
41.50915,-74.07672,
41.50905,-74.07671,
41.50896,-74.07668,
41.50887,-74.07664,
41.50878,-74.07658,
41.50866,-74.0765,
41.50793,-74.07599,
41.50782,-74.07591,
41.5077,-74.07583,
41.50758,-74.07576,
41.50745,-74.0757,
41.50733,-74.07565,
41.50721,-74.07561,
41.50706,-74.07557,
41.50692,-74.07555,
41.50679,-74.07553,
41.50666,-74.07552,
41.50655,-74.07552,
41.50644,-74.07553,
41.50633,-74.07554,
41.50621,-74.07555,
41.50532,-74.07572,
41.50355,-74.07621,
41.50312,-74.07633,
41.50296,-74.07637,
41.50159,-74.07675,
41.50034,-74.07704,
41.49905,-74.07731,
41.49517,-74.07803,
41.49469,-74.07813,
41.49421,-74.07821,
41.49182,-74.07865,
41.49101,-74.0788,
41.49023,-74.07895,
41.48988,-74.07898,
41.48938,-74.07909,
